geneticname,breedid,age,dayfeedperbird,targetweight,note,last_userid,created_date,last_updated,is_active
CornishXRock,Female,0,,0.09,,,,,TRUE
CornishXRock,Female,1,0.043,0.137,,,,,TRUE
CornishXRock,Female,2,0.043,0.184,,,,,TRUE
CornishXRock,Female,3,0.043,0.231,,,,,TRUE
CornishXRock,Female,4,0.043,0.279,,,,,TRUE
CornishXRock,Female,5,0.043,0.326,,,,,TRUE
CornishXRock,Female,6,0.043,0.373,,,,,TRUE
CornishXRock,Female,7,0.043,0.42,,,,,TRUE
CornishXRock,Female,8,0.107,0.51,,,,,TRUE
CornishXRock,Female,9,0.107,0.6,,,,,TRUE
CornishXRock,Female,10,0.107,0.69,,,,,TRUE
CornishXRock,Female,11,0.107,0.78,,,,,TRUE
CornishXRock,Female,12,0.107,0.87,,,,,TRUE
CornishXRock,Female,13,0.107,0.96,,,,,TRUE
CornishXRock,Female,14,0.107,1.05,,,,,TRUE
CornishXRock,Female,15,0.179,1.186,,,,,TRUE
CornishXRock,Female,16,0.179,1.321,,,,,TRUE
CornishXRock,Female,17,0.179,1.457,,,,,TRUE
CornishXRock,Female,18,0.179,1.593,,,,,TRUE
CornishXRock,Female,19,0.179,1.729,,,,,TRUE
CornishXRock,Female,20,0.179,1.864,,,,,TRUE
CornishXRock,Female,21,0.179,2,,,,,TRUE
CornishXRock,Female,22,0.243,2.171,,,,,TRUE
CornishXRock,Female,23,0.243,2.343,,,,,TRUE
CornishXRock,Female,24,0.243,2.514,,,,,TRUE
CornishXRock,Female,25,0.243,2.686,,,,,TRUE
CornishXRock,Female,26,0.243,2.857,,,,,TRUE
CornishXRock,Female,27,0.243,3.029,,,,,TRUE
CornishXRock,Female,28,0.243,3.2,,,,,TRUE
CornishXRock,Female,29,0.3,3.386,,,,,TRUE
CornishXRock,Female,30,0.3,3.571,,,,,TRUE
CornishXRock,Female,31,0.3,3.757,,,,,TRUE
CornishXRock,Female,32,0.3,3.943,,,,,TRUE
CornishXRock,Female,33,0.3,4.129,,,,,TRUE
CornishXRock,Female,34,0.3,4.314,,,,,TRUE
CornishXRock,Female,35,0.3,4.5,,,,,TRUE
CornishXRock,Female,36,0.371,4.686,,,,,TRUE
CornishXRock,Female,37,0.371,4.871,,,,,TRUE
CornishXRock,Female,38,0.371,5.057,,,,,TRUE
CornishXRock,Female,39,0.371,5.243,,,,,TRUE
CornishXRock,Female,40,0.371,5.429,,,,,TRUE
CornishXRock,Female,41,0.371,5.614,,,,,TRUE
CornishXRock,Female,42,0.371,5.8,,,,,TRUE
CornishXRock,Female,43,0.4,5.971,,,,,TRUE
CornishXRock,Female,44,0.4,6.143,,,,,TRUE
CornishXRock,Female,45,0.4,6.314,,,,,TRUE
CornishXRock,Female,46,0.4,6.486,,,,,TRUE
CornishXRock,Female,47,0.4,6.657,,,,,TRUE
CornishXRock,Female,48,0.4,6.829,,,,,TRUE
CornishXRock,Female,49,0.4,7,,,,,TRUE
CornishXRock,Female,50,0.429,7.157,,,,,TRUE
CornishXRock,Female,51,0.429,7.314,,,,,TRUE
CornishXRock,Female,52,0.429,7.471,,,,,TRUE
CornishXRock,Female,53,0.429,7.629,,,,,TRUE
CornishXRock,Female,54,0.429,7.786,,,,,TRUE
CornishXRock,Female,55,0.429,7.943,,,,,TRUE
CornishXRock,Female,56,0.429,8.1,,,,,TRUE
CornishXRock,Female,57,0.471,8.214,,,,,TRUE
CornishXRock,Female,58,0.471,8.329,,,,,TRUE
CornishXRock,Female,59,0.471,8.443,,,,,TRUE
CornishXRock,Female,60,0.471,8.557,,,,,TRUE
CornishXRock,Female,61,0.471,8.671,,,,,TRUE
CornishXRock,Female,62,0.471,8.786,,,,,TRUE
CornishXRock,Female,63,0.471,8.9,,,,,TRUE
CornishXRock,Female,64,0.486,8.986,,,,,TRUE
CornishXRock,Female,65,0.486,9.071,,,,,TRUE
CornishXRock,Female,66,0.486,9.157,,,,,TRUE
CornishXRock,Female,67,0.486,9.243,,,,,TRUE
CornishXRock,Female,68,0.486,9.329,,,,,TRUE
CornishXRock,Female,69,0.486,9.414,,,,,TRUE
CornishXRock,Female,70,0.486,9.5,,,,,TRUE
CornishXRock,Male,0,,0.09,,,,,TRUE
CornishXRock,Male,1,0.046,0.14,,,,,TRUE
CornishXRock,Male,2,0.046,0.19,,,,,TRUE
CornishXRock,Male,3,0.046,0.24,,,,,TRUE
CornishXRock,Male,4,0.046,0.29,,,,,TRUE
CornishXRock,Male,5,0.046,0.34,,,,,TRUE
CornishXRock,Male,6,0.046,0.39,,,,,TRUE
CornishXRock,Male,7,0.046,0.44,,,,,TRUE
CornishXRock,Male,8,0.111,0.541,,,,,TRUE
CornishXRock,Male,9,0.111,0.643,,,,,TRUE
CornishXRock,Male,10,0.111,0.744,,,,,TRUE
CornishXRock,Male,11,0.111,0.846,,,,,TRUE
CornishXRock,Male,12,0.111,0.947,,,,,TRUE
CornishXRock,Male,13,0.111,1.049,,,,,TRUE
CornishXRock,Male,14,0.111,1.15,,,,,TRUE
CornishXRock,Male,15,0.186,1.3,,,,,TRUE
CornishXRock,Male,16,0.186,1.45,,,,,TRUE
CornishXRock,Male,17,0.186,1.6,,,,,TRUE
CornishXRock,Male,18,0.186,1.75,,,,,TRUE
CornishXRock,Male,19,0.186,1.9,,,,,TRUE
CornishXRock,Male,20,0.186,2.05,,,,,TRUE
CornishXRock,Male,21,0.186,2.2,,,,,TRUE
CornishXRock,Male,22,0.271,2.386,,,,,TRUE
CornishXRock,Male,23,0.271,2.571,,,,,TRUE
CornishXRock,Male,24,0.271,2.757,,,,,TRUE
CornishXRock,Male,25,0.271,2.943,,,,,TRUE
CornishXRock,Male,26,0.271,3.129,,,,,TRUE
CornishXRock,Male,27,0.271,3.314,,,,,TRUE
CornishXRock,Male,28,0.271,3.5,,,,,TRUE
CornishXRock,Male,29,0.314,3.714,,,,,TRUE
CornishXRock,Male,30,0.314,3.929,,,,,TRUE
CornishXRock,Male,31,0.314,4.143,,,,,TRUE
CornishXRock,Male,32,0.314,4.357,,,,,TRUE
CornishXRock,Male,33,0.314,4.571,,,,,TRUE
CornishXRock,Male,34,0.314,4.786,,,,,TRUE
CornishXRock,Male,35,0.314,5,,,,,TRUE
CornishXRock,Male,36,0.4,5.243,,,,,TRUE
CornishXRock,Male,37,0.4,5.486,,,,,TRUE
CornishXRock,Male,38,0.4,5.729,,,,,TRUE
CornishXRock,Male,39,0.4,5.971,,,,,TRUE
CornishXRock,Male,40,0.4,6.214,,,,,TRUE
CornishXRock,Male,41,0.4,6.457,,,,,TRUE
CornishXRock,Male,42,0.4,6.7,,,,,TRUE
CornishXRock,Male,43,0.443,6.929,,,,,TRUE
CornishXRock,Male,44,0.443,7.157,,,,,TRUE
CornishXRock,Male,45,0.443,7.386,,,,,TRUE
CornishXRock,Male,46,0.443,7.614,,,,,TRUE
CornishXRock,Male,47,0.443,7.843,,,,,TRUE
CornishXRock,Male,48,0.443,8.071,,,,,TRUE
CornishXRock,Male,49,0.443,8.3,,,,,TRUE
CornishXRock,Male,50,0.643,8.514,,,,,TRUE
CornishXRock,Male,51,0.643,8.729,,,,,TRUE
CornishXRock,Male,52,0.643,8.943,,,,,TRUE
CornishXRock,Male,53,0.643,9.157,,,,,TRUE
CornishXRock,Male,54,0.643,9.371,,,,,TRUE
CornishXRock,Male,55,0.643,9.586,,,,,TRUE
CornishXRock,Male,56,0.643,9.8,,,,,TRUE
CornishXRock,Male,57,0.529,9.929,,,,,TRUE
CornishXRock,Male,58,0.529,10.057,,,,,TRUE
CornishXRock,Male,59,0.529,10.186,,,,,TRUE
CornishXRock,Male,60,0.529,10.314,,,,,TRUE
CornishXRock,Male,61,0.529,10.443,,,,,TRUE
CornishXRock,Male,62,0.529,10.571,,,,,TRUE
CornishXRock,Male,63,0.529,10.7,,,,,TRUE
CornishXRock,Male,64,0.529,10.786,,,,,TRUE
CornishXRock,Male,65,0.529,10.871,,,,,TRUE
CornishXRock,Male,66,0.529,10.957,,,,,TRUE
CornishXRock,Male,67,0.529,11.043,,,,,TRUE
CornishXRock,Male,68,0.529,11.129,,,,,TRUE
CornishXRock,Male,69,0.529,11.214,,,,,TRUE
CornishXRock,Male,70,0.529,11.3,,,,,TRUE
